,,Дата отгрузки формирируется (Дата отгрузочного документа в адрес клиента),Номер отгрузки формирируется (№ отгрузочного документа в адрес клиента),Создается автоматом дата создания заказа клиента,Создается автоматом номер заказа клиента,если есть,Создается автоматомзаказчик из заказа клиента,"Создается автоматом из заказа клиента (мало вероятно, что будем пользоваться) лучше реквизиты сразу заложить.",текстовое поле или выпадающий список (азначается нашим менеджером),Загрузка и из заявки  (текстовая форма),Загрузка и из заявки  (текстовая форма),Загрузка и из заявки  (текстовая форма),Загрузка и из заявки  (текстовая форма) для корректировки полей с пометкой факт принажатии на эти поля должно открыться окно заказа и там можно редактировать в арме нельзя (в Идеале)))_ в табличной форме загрузки разлиновка ячеек и нумерация строк в соответсвии с номером строки в части 1с списка товаров,Загрузка и из заявки  (текстовая форма),Загрузка и из заявки  (текстовая форма),Загрузка и из заявки  (текстовая форма),"Наименование товара.менеджер создает позицию на основании счета имеет возможность ее отгрузить, но позиция номенклатурная падает исключительно в папку ""На согласование"" в папку основную товар Нужно перенести заполнив все поля перенос в паку доступен только админу с артикулом, код а-а и прочиви вещами связанными с номенклатурой такая же процедура (всучае если номенклатура по мнения склада не соответствует скдад ставит комментарий на позицию",Артикул,"код привязавется к позиции если она имеет определенного поствщика (на уровне номенклатуры). Соответсвенно в подбор товара можно попасть через: наименование, артикул, код или кнопка подбор когда стоим на этой строке",Привязка к номенклатуре (Нужно или можно заложить краность упаковке или тары) Пример заказли 3 бутылки по 2 литра на складе или в продаже есть только в таре по 5 литров соответсвенно выписаваем 5 или 10 литров в документы на склад приходит задание 2 канистры по 5 литров стандартная функция где то ее видел,Фактическое которое мы хоти отгрузить,"кол-во в наличии на складе этоже поле участвует какое количество мы заказываем у поставщика, если товар в достаточно количестве отображается зеленым, после того как склад заприходовал товар то становится тоже зеленым в случае если стоял резер на него (нужно подумать над алгоритмом. в случае нехватки товара или разных цен строка начинает дробиться. для проценки можно дробить вручную и выбирать какие строки будем покупать.",,,,"назначается будущими кнопками или после если с товаром производит действие склад , в резерв, заказано в пути, нузно забрать, прихлдуется, на складе, готов к отгрузке, отгружен. сопроводается цветом","Цена входа на складе , или цена будущей покупки в слуае отсутсвия на складе проговаривали забыл как можно сделать привязку к позиции например доствка или сопутсвующих расходов",сумма товар на  складе или к закупке. Если выделить отдельные стороки нужно видеть сумму позиций,"тип: нал, без ндс, 5%, 10%, 22%",РРЦ,буха заставим делать (должен контролировать менеджер,"процент в натуральном виде 10% не 1,10 наценки на товар можно заполнять можно оставить пустым и поставить цену сследующей колонке руками или наоборот ( если автоматом будет показывать наценку будет хорошо, Допом подумать что если даем ниже опреденоого процента подсвечивается красным",цена ставиться вручную или заполняется от наценки,сумма автоматом,заполняется автоматом из наличия товара с разбивкой по партиям или ставиться в качестве будущей поставки,Дата ставиться автоматом при формировании документа о приемки  это дата когда склад заприходовал товар,заполняет склад на моменте прихода,заполняет склад на моменте прихода,Территория забора товара у поставщика или доставка Транскортной компанией можно оставить текстовым полем для японимая откуда ждать товар указывается адрес откуда забрать для своих машин и когда можно забрать,Комментарий)))
,7673,2/5/2026,142,2/3/2026,,,,,,,с259вв777,СПАК,"Разъем МАЗ,ГАЗ,УАЗ фонаря заднего штыревой", AX502,"3,00",,"Разъем МАЗ, ГАЗ, УАЗ фонаря заднего штыревой (м+п, байонет) CARGEN",AX502,858499,,"3,00",,,,,,"543,51","1 630,53",,,,,"1 048,00","3 144,00",АЛЬЯНС,2/4/2026,,,КЕТЧЕРСКАЯ,
,7693,2/11/2026,150,2/3/2026,,,,,,срочно,т710ео777,ДЭУ_5,Насос гидроусилителя КАМАЗ-4308 дв.CUMMINS ,ZYB-1816L/817-1,"1,00",,Насос гидроусилителя КАМАЗ-4308 дв.CUMMINS QUANXING,ZYB-1816L/817-1 / 7684955230,,,"1,00",,,,,,"11 490,00","11 490,00",,,,,"18 384,00","18 384,00",РДБС МОТОРС,2/10/2026,,,,
,7694,2/6/2026,144,2/3/2026,,,,,,,9114МО77,СПАК,Маяк проблесковый 12V импульсный на магните светодиодный оранжевый TORINO,51016Х-10 OR,"1,00",,Маяк импульсный 12/24V (72 светодиода) (2 режима) на магните желтый LUMEN,MWL-TTX535LHB,270447,,"1,00",,,,,,"1 820,24","1 820,24",,,,,"3 504,00","3 504,00",АЛЬЯНС,2/5/2026,,,,
,7695,2/5/2026,142,2/3/2026,,,,,,,0020ММ77,СПАК,Трос буксировочный 5т 5м ленточный (крюк-крюк) АВТОСТОП AB5K,AB-5K,"1,00",,Трос буксировочный 5т 5м ленточный (крюк-крюк) АВТОСТОП,AB-5K,659406,,"1,00",,,,,,"250,10","250,10",,,,,"448,00","448,00",АЛЬЯНС,2/4/2026,,,,
,7696,2/5/2026,142,2/3/2026,,,,,,,9200МО77,СПАК,"Вал карданный МТЗ-80,82,320,Т-25 привода щетки в кожухе ",10.016.6000-25.04С,"1,00",,"Вал карданный МТЗ-80, 82, 320, Т-25 привода щетки в кожухе (8 шлиц.+шпонка) L=810-1285мм",10.016.6000-25.04С,852537,,"1,00",,,,,,"13 036,10","13 036,10",,,,,"24 056,00","24 056,00",АЛЬЯНС,2/4/2026,,,,
,7697,2/5/2026,142,2/3/2026,,,,,,,4596ММ77,СПАК,Опора вала карданного МТЗ промежуточная РБ 722209010,72-2209010,"1,00",,Опора вала карданного МТЗ промежуточная БЗТДИА,72-2209010,086579,,"1,00",,,,,,"15 690,42","15 690,42",,,,,"29 232,00","29 232,00",АЛЬЯНС,2/4/2026,,,,
,7698,2/6/2026,144,2/3/2026,,,,,,,9200МО77,СПАК,Маяк проблесковый 12V импульсный на магните светодиодный оранжевый TORINO, 51016Х-10 OR,"1,00",,Маяк импульсный 12/24V (72 светодиода) (2 режима) на магните желтый LUMEN,MWL-TTX535LHB,270447,,"1,00",,,,,,"1 820,24","1 820,24",,,,,"3 504,00","3 504,00",АЛЬЯНС,2/5/2026,,,,
,7699,2/5/2026,142,2/3/2026,,,,,,,0020ММ77,СПАК,Трос МТЗ-320 БЗТДиА,320-1108070,"1,00",,Трос МТЗ-320 ОАО МТЗ,320-1108070	,,,"1,00",,,,,,"490,00","490,00",,,,,"857,00","857,00",сонар,2/4/2026,,,,
,7700,2/5/2026,142,2/3/2026,,,,,,,0020мм77,СПАК,Трос МТЗ-320 БЗТДиА,320-1108060,"1,00",,Трос МТЗ-320 БЗТДИА,320-1108060,,,"1,00",,,,,,"625,00","625,00",,,,,"1 094,00","1 094,00",сонар,2/4/2026,,,,
,7701,2/6/2026,144,2/3/2026,,,,,услга,,0020ММ77,СПАК,Бак масляный МТЗ гидросистемы БЗТДИА,321-4608110,"1,00",,Бак масляный МТЗ гидросистемы БЗТДИА,321-4608110,,,"1,00",,,,,,"16 860,00","16 860,00",,,,,"26 976,00","26 976,00",РДБС МОТОРС,2/5/2025,,,,
,7702,2/6/2026,144,2/3/2026,,,,,инструмент,конический подшипник,1129ММ77,СПАК,Конический подшипник 6-7206А, 6-7206А,"2,00",,"Подшипник 6-7206 А (30206) 30*62*17,25мм ГПЗ/СПЗ-4",6-7206 А (30206),,,"2,00",,,,,,"257,40","514,80",,,,,"463,00","926,00",кирелис,2/5/2025,,,,
,7703,2/5/2026,142,2/3/2026,,,,,,,6084НК77,СПАК,"Стартер МАЗ,МТЗ,АМКОДОР дв.Д-260.7,260.5,265 и их модификации редукторный 24В z=10 9.0кВт БАТЭ ",5432.3708000-20,"1,00",,"Стартер МАЗ, МТЗ, АМКОДОР дв.Д-260.7, 260.5, 265 и их модификации редукторный 24В z=10 9.0кВт БАТЭ  ",5432.3708000-20,657708,,"1,00",,,,,,"17 470,40","17 470,40",,,,,"39 280,00","39 280,00",АЛЬЯНС,2/4/2026,,,,
,7704,2/5/2026,142,2/3/2026,,,,,,,6084НК77,СПАК,"Трубка МТЗ,Д260 сливная ММЗ 2601118010", 260-1118010,"1,00",,"Трубка МТЗ, Д260 сливная ММЗ",260-1118010,,,"1,00",,,,,,"814,05","814,05",,,,,"1 424,00","1 424,00",сонар,2/4/2026,,,,
,7705,,,2/3/2026,,,,,,,5925НК77,СПАК,Щетка стеклоочистителя,1473847M91,"1,00",,,,,,"1,00",,,,,,,"0,00",,,,,"0,00","0,00",,,,,,
,7706,,,2/3/2026,,,,,,,4735ММ77,СПАК,Щетка стеклоочистителя,1473847M91,"1,00",,,,,,"1,00",,,,,,,"0,00",,,,,"0,00","0,00",,,,,,
,7707,2/5/2026,142,2/3/2026,,,,,,,м141мн777,СПАК,Шкив ГАЗ-3302 Бизнес дв.УМЗ-4216 ЕВРО-3,4216.1005074,"1,00",,Шкив ГАЗ-3302 Бизнес дв.УМЗ-4216 ЕВРО-3 ГБО коленвала привода вентилятора УМЗ,4216.1005074,177377,,"1,00",,,,,,"2 559,56","2 559,56",,,,,"5 016,00","5 016,00",АЛЬЯНС,2/4/2026,,,,
,7708,2/5/2026,142,2/3/2026,,,,,,,с255вв777,СПАК,Бачок расширительный КАМАЗ-6520 пластик с крышкой ,6520-1311010-01 ,"1,00",,Бачок расширительный КАМАЗ-6520 пластик с крышкой (без клапана) ТЕХНОТРОН,6520-1311010-01,923527,,"1,00",,,,,,"1 644,56","1 644,56",,,,,"3 616,00","3 616,00",АЛЬЯНС,2/4/2026,,,,
,7709,2/4/2026,142,2/3/2026,,,,,,срочно,о055сг197,СПАК,"Стартер МАЗ,УРАЛ дв.ЯМЗ-236,238,", 5432.3708 АЕ ,"1,00",,"Стартер МАЗ, УРАЛ дв.ЯМЗ-236, 238, 656, 658, 7511 ЕВРО-2, 3 z=10 9.2кВт редукторный AVTOELECTRICA",5432.3708 АЕ,559699,,"1,00",,,,,,"13 850,05","13 850,05",,,,,"23 816,00","23 816,00",АЛЬЯНС,2/3/2026,,,,
,7977,2/6/2026,145,2/6/2026,,,,,запчасть,,Е427ЕВ777,АРМ,Крышка КАМАЗ редуктора среднего моста (ОАО КАМАЗ),54115-2502209,"1,00",,Крышка КАМАЗ редуктора среднего моста (ОАО КАМАЗ),54115-2502209,633603,,"1,00",,,,,,"2 417,43","2 417,43",,,,,"4 800,00","4 800,00",АЛЬЯНС,2/6/2026,,,КЕТЧЕРСКАЯ,САМИ
,7978,2/6/2026,145,2/6/2026,,,,,запчасть,,Е427ЕВ777,АРМ,Болт М10х1.25х35 ВАЗ-2121 поперечины (кл.проч. 8.8) ТТМ,15970921,"20,00",,Болт М10х1.25х35 ВАЗ-2121 поперечины (кл.проч. 8.8) ТТМ,15970921,091751,,"20,00",,,,,,"17,08","341,60",,,,,"56,00","1 120,00",АЛЬЯНС,2/6/2026,,,КЕТЧЕРСКАЯ,САМИ
,7979,2/6/2026,145,2/6/2026,,,,,запчасть,,Е427ЕВ777,АРМ,Прокладка КАМАЗ среднего моста комплект (7шт.),5320-25020**,"3,00",,Прокладка КАМАЗ среднего моста комплект (7шт.),5320-25020**,178027,,"3,00",,,,,,"165,92","497,76",,,,,"304,00","912,00",АЛЬЯНС,2/6/2026,,,КЕТЧЕРСКАЯ,САМИ
,7980,2/6/2026,145,2/6/2026,,,,,запчасть,,8566мм77,ДЭУ_5,"Стартер МТЗ-1221,22,ЗИЛ,ГАЗ,МАЗ,ПАЗ дв.ММЗ ЕВРО-2 Д243,245,260 24В 3.5кВт STARTVOLT",	LST0372,"1,00",,"Стартер МТЗ-1221,22,ЗИЛ,ГАЗ,МАЗ,ПАЗ дв.ММЗ ЕВРО-2 Д243,245,260 24В 3.5кВт STARTVOLT",LST0372 / 9172780,327175,,"1,00",,,,,,"8 921,25","8 921,25",,,,,"20 240,00","20 240,00",АЛЬЯНС,2/6/2026,,,КЕТЧЕРСКАЯ,САМИ
,7981,2/6/2026,145,2/6/2026,,,,,запчасть,,Склад,СКЛАД,Фонарь габаритный красный/белый 12/24 светодиодный левый ТЕХАВТОСВЕТ,ФГ-20-02L-LED,"8,00",,Фонарь габаритный красный/белый 12/24 светодиодный левый ТЕХАВТОСВЕТ,ФГ-20-02L-LED,379318,,"8,00",,,,,,"765,00","6 120,00",,,,,"1 360,00","10 880,00",АЛЬЯНС,2/5/2026,,,,
